*******************************************************************************
 Revised: Feb 23, 2008   Galileo Spacecraft (Orbiter) / (Sun, Jupiter)     -77
                           http://solarsystem.nasa.gov/galileo/

 LAUNCHED      : Oct 18, 1989 (STS-34, Atlantis)  LAUNCH MASS:  2223 kg 
 END OF MISSION: Sep 21, 2003 

 Galileo plunged into Jupiter's crushing atmosphere on Sept. 21, 2003.  The 
 spacecraft was deliberately destroyed at the end of the mission to protect one 
 of its own discoveries - a possible ocean beneath the icy crust of the moon 
 Europa.  34 Jupiter orbits completed; 4,631,778,000 km traveled.

 Interplanetary phase main events:
  Venus flyby     : Feb 10, 1990           Earth-1 flyby: Dec 8, 1990
  951 Gaspra flyby: Oct 29, 1991           Earth-2 flyby: Dec 8, 1992
  243 Ida flyby   : Aug 28, 1993           SL-9 impacts : Jul 16-22, 1994 
  Probe separation: Jul 13, 1995           ARRIVAL      : Dec 7, 1995 (Jupiter)

 SPACECRAFT PHYSICAL CHARACTERISTICS:
  Overall height         = 5.3 m           Science instrument mass= 118 kg
  Fuel mass              = 925 kg (launch) Magnetometer boom      = 11 m
  High-gain antenna diam = 4.8 m           Dual RTG power output  = 570 watts
  RTG power decay rate   = -0.6 watts/mnth Total power at arrival = 493 watts
 
 TELECOMMUNICATIONS:
  Inoperative HGA        = 134 kb/sec      Actual (using low-gain)= 160 bits/s

 PROPULSION:
  One 400-newton main engine, twelve 10-newton thrusters.

 SPACECRAFT TRAJECTORY:
  Trajectory provided by Navigation Team (JPL). Data fit: 1989 to Aug 12, 2002,
  baseline predicts thereafter. Merged trajectories:

     Interplanetary Mission:           S970311A    (19-OCT-1989 to 02-JUL-1995)
     Primary Mission:                  S980326B    (30-JUN-1995 to 01-DEC-1997)
     Galileo Extended Mission (GEM)    S000131A    (01-DEC-1997 to 01-FEB-2000)
     Galileo Millennium Mission (GMM)  S030916A    (01-FEB-2000 to 30-SEP-2003)
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Jul  2 06:21:42 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Galileo (spacecraft) (-77)      {source: galileo_merged}
Center body name: Earth (399)                     {source: galileo_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Dec-08 00:00:00.0000 TDB
Stop  time      : A.D. 1990-Dec-09 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260701.p260927
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-01. PREDICTS-> 2026-SEP-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2448233.500000000, A.D. 1990-Dec-08 00:00:00.0000,  4.594821920261664E+04,  6.628221752290925E+05,  1.536284746992589E+05, -4.887378523977525E-01, -8.787018124984860E+00, -1.948058195730020E+00,
2448233.500694444, A.D. 1990-Dec-08 00:01:00.0000,  4.591889490105154E+04,  6.622949526785634E+05,  1.535115908930367E+05, -4.887388677175707E-01, -8.787066906240915E+00, -1.948068681664623E+00,
2448233.501388889, A.D. 1990-Dec-08 00:02:00.0000,  4.588957053833693E+04,  6.617677271987104E+05,  1.533947064570605E+05, -4.887398907176395E-01, -8.787115769148102E+00, -1.948079187534953E+00,
2448233.502083333, A.D. 1990-Dec-08 00:03:00.0000,  4.586024611401147E+04,  6.612404987846288E+05,  1.532778213901328E+05, -4.887409214154064E-01, -8.787164713895953E+00, -1.948089713386917E+00,
2448233.502777778, A.D. 1990-Dec-08 00:04:00.0000,  4.583092162761277E+04,  6.607132674314023E+05,  1.531609356910535E+05, -4.887419598283763E-01, -8.787213740674609E+00, -1.948100259266569E+00,
2448233.503472222, A.D. 1990-Dec-08 00:05:00.0000,  4.580159707867741E+04,  6.601860331341034E+05,  1.530440493586194E+05, -4.887430059741126E-01, -8.787262849674802E+00, -1.948110825220114E+00,
2448233.504166667, A.D. 1990-Dec-08 00:06:00.0000,  4.577227246674087E+04,  6.596587958877932E+05,  1.529271623916246E+05, -4.887440598702369E-01, -8.787312041087883E+00, -1.948121411293906E+00,
2448233.504861111, A.D. 1990-Dec-08 00:07:00.0000,  4.574294779133762E+04,  6.591315556875208E+05,  1.528102747888608E+05, -4.887451215344293E-01, -8.787361315105805E+00, -1.948132017534452E+00,
2448233.505555556, A.D. 1990-Dec-08 00:08:00.0000,  4.571362305200102E+04,  6.586043125283244E+05,  1.526933865491163E+05, -4.887461909844293E-01, -8.787410671921135E+00, -1.948142643988407E+00,
2448233.506250000, A.D. 1990-Dec-08 00:09:00.0000,  4.568429824826341E+04,  6.580770664052304E+05,  1.525764976711770E+05, -4.887472682380348E-01, -8.787460111727052E+00, -1.948153290702580E+00,
2448233.506944444, A.D. 1990-Dec-08 00:10:00.0000,  4.565497337965602E+04,  6.575498173132535E+05,  1.524596081538258E+05, -4.887483533131036E-01, -8.787509634717352E+00, -1.948163957723931E+00,
2448233.507638889, A.D. 1990-Dec-08 00:11:00.0000,  4.562564844570906E+04,  6.570225652473967E+05,  1.523427179958430E+05, -4.887494462275527E-01, -8.787559241086457E+00, -1.948174645099577E+00,
2448233.508333333, A.D. 1990-Dec-08 00:12:00.0000,  4.559632344595157E+04,  6.564953102026517E+05,  1.522258271960058E+05, -4.887505469993594E-01, -8.787608931029398E+00, -1.948185352876783E+00,
2448233.509027778, A.D. 1990-Dec-08 00:13:00.0000,  4.556699837991162E+04,  6.559680521739979E+05,  1.521089357530888E+05, -4.887516556465606E-01, -8.787658704741837E+00, -1.948196081102973E+00,
