API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / API_USER Tue Sep 22 21:16:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Sep-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Oct-01 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260922.p261219
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-22. PREDICTS-> 2026-DEC-18
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461307.500000000, A.D. 2026-Sep-24 00:00:00.0000,  3.311199117679080E+05, -1.908269698294362E+05, -8.368292132063500E+04,  4.902368478606008E-01,  7.665880986132805E-01,  4.319754419711204E-01,
2461307.500694444, A.D. 2026-Sep-24 00:01:00.0000,  3.311493220085805E+05, -1.907809722150281E+05, -8.365700177303489E+04,  4.901045054006451E-01,  7.666657121813759E-01,  4.320094764110615E-01,
2461307.501388889, A.D. 2026-Sep-24 00:02:00.0000,  3.311787243082574E+05, -1.907349699443116E+05, -8.363108018366023E+04,  4.899721480089341E-01,  7.667433088944113E-01,  4.320435011217890E-01,
2461307.502083333, A.D. 2026-Sep-24 00:03:00.0000,  3.312081186660429E+05, -1.906889630182979E+05, -8.360515655309489E+04,  4.898397756878682E-01,  7.668208887497437E-01,  4.320775161020341E-01,
2461307.502777778, A.D. 2026-Sep-24 00:04:00.0000,  3.312375050810414E+05, -1.906429514379988E+05, -8.357923088192265E+04,  4.897073884398480E-01,  7.668984517447308E-01,  4.321115213505280E-01,
2461307.503472222, A.D. 2026-Sep-24 00:05:00.0000,  3.312668835523573E+05, -1.905969352044258E+05, -8.355330317072746E+04,  4.895749862672753E-01,  7.669759978767302E-01,  4.321455168660023E-01,
2461307.504166667, A.D. 2026-Sep-24 00:06:00.0000,  3.312962540790951E+05, -1.905509143185909E+05, -8.352737342009341E+04,  4.894425691725520E-01,  7.670535271430994E-01,  4.321795026471885E-01,
2461307.504861111, A.D. 2026-Sep-24 00:07:00.0000,  3.313256166603595E+05, -1.905048887815060E+05, -8.350144163060453E+04,  4.893101371580811E-01,  7.671310395411962E-01,  4.322134786928184E-01,
2461307.505555556, A.D. 2026-Sep-24 00:08:00.0000,  3.313549712952556E+05, -1.904588585941834E+05, -8.347550780284501E+04,  4.891776902262658E-01,  7.672085350683788E-01,  4.322474450016234E-01,
2461307.506250000, A.D. 2026-Sep-24 00:09:00.0000,  3.313843179828884E+05, -1.904128237576353E+05, -8.344957193739907E+04,  4.890452283795103E-01,  7.672860137220051E-01,  4.322814015723357E-01,
2461307.506944444, A.D. 2026-Sep-24 00:10:00.0000,  3.314136567223630E+05, -1.903667842728743E+05, -8.342363403485111E+04,  4.889127516202194E-01,  7.673634754994333E-01,  4.323153484036870E-01,
2461307.507638889, A.D. 2026-Sep-24 00:11:00.0000,  3.314429875127846E+05, -1.903207401409129E+05, -8.339769409578547E+04,  4.887802599507979E-01,  7.674409203980219E-01,  4.323492854944095E-01,
